"track_name","artist_name","track_genre","artist_id","track_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_ms","explicit"
"Feel Good Inc.","Gorillaz","Hip-Hop","3AA28KZvwAUcZuOKwyblJQ","0d28khcov6AiegSCpG5TuT",0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,4,222640,FALSE
"Stronger","Kanye West","Hip-Hop","5K4W6rqBFWDnAN6FQUkS6x","2HVr1GSSrPWENqB9UcPZtK",0.617,0.716,1,-7.858,1,0.136,0.0056,0,0.408,0.496,104.014,4,311866,TRUE
"Clint Eastwood","Gorillaz","Hip-Hop","3AA28KZvwAUcZuOKwyblJQ","1RKUoGiLEbcXN4GY4spQDx",0.663,0.694,10,-8.627,0,0.171,0.0253,0,0.0698,0.525,167.953,4,340920,TRUE
"Paper Planes","M.I.A.","Hip-Hop","0QJIPDAEDILuo8AIq3pMuU","1ixbwbeBi5ufN4noUKmW5a",0.447,0.848,2,-6.175,1,0.222,0.033,7.46e-05,0.65,0.485,172.253,4,205200,FALSE
"Heartless","Kanye West","Hip-Hop","5K4W6rqBFWDnAN6FQUkS6x","4EWCNWgDS8707fNSZ1oaA5",0.79,0.647,10,-5.983,0,0.136,0.0515,0,0.248,0.654,87.999,4,211000,FALSE
"Crazy","Gnarls Barkley","Hip-Hop","5SbkVQYYzlw1kte75QIabH","2N5zMZX7YeL1tico8oQxa9",0.835,0.741,8,-1.609,1,0.0339,0.0172,0.0577,0.0826,0.612,111.963,4,182066,FALSE
"DARE","Gorillaz","Hip-Hop","3AA28KZvwAUcZuOKwyblJQ","4Hff1IjRbLGeLgFgxvHflk",0.76,0.891,11,-5.852,0,0.0372,0.0229,0.0869,0.298,0.966,120.264,4,244999,FALSE
"I Gotta Feeling","Black Eyed Peas","Hip-Hop","1yxSLGMDHlW21z4YXirZDS","0bAKZsgDV5OvWf9iUWhqxG",0.745,0.769,0,-6.377,1,0.0265,0.0858,0,0.509,0.629,127.96,4,289133,FALSE
"Lollipop","Lil Wayne","Hip-Hop","55Aa2cqylxrFIXC767Z865","4P7VFiaZb3xrXoqGwZXC3J",0.829,0.428,0,-9.469,1,0.0831,0.056,0.00413,0.137,0.45,148.075,4,299333,TRUE
"Best I Ever Had","Drake","Hip-Hop","3TVXtAsR1Inumwj472S9r4","4AcScHuxr9xAqqyxxTMAhu",0.441,0.929,5,-2.199,0,0.337,0.203,0,0.165,0.546,162.395,4,257680,FALSE
"Umbrella","Rihanna","Hip-Hop","5pKCCKE2ajJHZ9KAiaK11H","0a1vOhpBblkpapGPICEngd",0.585,0.833,1,-4.569,1,0.113,0.00923,0,0.0452,0.597,174.01,4,275986,FALSE
